Year,Studio,Total Gross
2006,Lions,47326473
2006,MGM,70270943
2006,Mira.,56441711
2006,NL,200008525
2006,P/DW,390394477
2006,Par.,640024063
2006,ParV,34302837
2006,PicH,37634615
2006,SGem,110179089
2006,SonR,255844439
2006,Sony,1237925797
2006,Uni.,714954198
2006,W/Dim.,90710620
2006,WB,1017337818
2006,YFG,39868642
2007,BV,1394057389
2007,Focus,50927067
2007,Fox,820198811
2007,FoxA,28638916
2007,FoxS,143495265
2007,LGF,263035890
2007,MGM,28549298
2007,MGM/W,239690659
2007,Mira.,74283625
2007,NGE,23746066
2007,NL,429113216
2007,P/DW,1152760591
2007,Par.,237604785
2007,ParV,40222514
2007,Rog.,32886940
2007,SGem,196501667
2007,SonR,138937410
2007,Sony,748648598
2007,Uni.,986119516
2007,W/Dim.,25037897
2007,WB,1455196564
2008,BV,943569015
2008,Focus,92196646
2008,Fox,916096710
2008,FoxS,179090090
2008,Gold.,33456317
2008,LGF,323851240
2008,Mira.,33446470
2008,NL,33479698
2008,Over.,40081410
2008,P/DW,607401597
2008,Par.,979363929
2008,ParV,28644813
2008,Rog.,52597610
2008,SGem,181444371
2008,Sony,1033258622
2008,Sum.,192769854
2008,UA,83077833
2008,Uni.,1011869834
2008,WB,1278908695
2008,WB (NL),412606396
2008,Wein.,65652353
2009,BV,1160465714
2009,Focus,107036123
2009,Fox,1760660736
2009,FoxS,108699362
2009,LGF,352981698
2009,Over.,105785922
2009,P/DW,849369075
2009,Par.,625335863
2009,SGem,143126520
2009,Sony,1117903124
2009,Sum.,408392795
2009,TriS,115646235
2009,Uni.,856057220
2009,W/Dim.,33392973
2009,WB,1540774110
2009,WB (NL),457465543
2009,Wein.,120540719
2010,BV,1473736551
2010,CBS,37490007
2010,Focus,35606376
2010,Fox,927622122
2010,FoxS,106954678
2010,LGF,412871445
2010,MGM,50287556
2010,Mira.,27779426
2010,Over.,66287182
2010,P/DW,677760208
2010,Par.,1102083657
2010,SGem,378637674
2010,Sony,918565859
2010,Sum.,443944366
2010,Uni.,788529355
2010,WB,1465388338
2010,WB (NL),268908357
2010,Wein.,135453143
2011,BV,1105527042
2011,FD,89069839
2011,Focus,71436667
2011,Fox,961033130
2011,FoxS,82584160
2011,LGF,111354487
2011,P/DW,666900110
2011,Par.,1268528835
2011,Rela.,162753472
2011,SGem,93102861
2011,SPC,56817045
2011,Sony,985386806
2011,Sum.,371013552
2011,TriS,152336893
2011,Uni.,886390426
2011,W/Dim.,76719116
2011,WB,1549265542
2011,WB (NL),292779207
2011,Wein.,74689674
2012,BV,1544257142
2012,CBS,54333290
2012,FD,44806783
2012,Focus,101515517
2012,Fox,1008795283
2012,FoxS,46412041
2012,LG/S,375486317
2012,LGF,726073551
2012,ORF,92583607
2012,P/DW,319804240
2012,Par.,435673941
2012,RM,33449086
2012,Rela.,166559930
2012,SGem,321227805
2012,Sony,1415353740
2012,TriS,66486205
2012,Uni.,1374290782
2012,WB,1130075404
2012,WB (NL),445382471
2012,Wein.,332298519
2013,BV,1813075245
2013,CBS,63914167
2013,FD,182512087
2013,Focus,53303136
2013,Fox,944748750
2013,FoxS,56671993
2013,LG/S,374278915
2013,LGF,607995906
2013,ORF,98841641
2013,Par.,1003312279
2013,Rela.,189700791
2013,SGem,66432040
2013,SPC,33405481
2013,Sony,816794621
2013,TriS,228035725
2013,Uni.,1452825830
2013,W/Dim.,32015787
2013,WB,1181380549
2013,WB (NL),611348718
2013,Wein.,249093861
2014,BV,1496462883
2014,Focus,112799797
2014,Fox,1795847932
2014,FoxS,139522278
2014,Free,60755732
2014,IFC,25352281
2014,LG/S,222827967
2014,LGF,376458429
2014,ORF,128056761
2014,Par.,967350189
2014,Rela.,124094300
2014,SGem,196940620
2014,Sony,843015276
2014,TriS,121571216
2014,Uni.,985022870
2014,WB,1286576661
2014,WB (NL),521996070
2014,Wein.,180353769
2015,A24,25442958
2015,BG,29504281
2015,BV,2466802926
2015,Focus,79959513
2015,Fox,1467483293
2015,FoxS,71401009
2015,LG/S,157546732
2015,LGF,431576045
2015,ORF,45055776
2015,Par.,690762613
2015,Rela.,73873559
2015,SGem,121487646
2015,STX,43787265
2015,Sony,729867103
2015,TriS,94612261
2015,Uni.,2382128030
2015,W/Dim.,76271832
2015,WB,785469871
2015,WB (NL),381187212
2015,Wein.,167136034
2016,A24,52993637
2016,BV,2849553429
2016,Focus,137295957
2016,Fox,1400787703
2016,LG/S,374948385
2016,LGF,273486902
2016,ORF,32492859
2016,Par.,760270775
2016,RAtt.,47695371
2016,SGem,118965478
2016,STX,149076853
2016,Sony,688257417
2016,TriS,102717198
2016,Uni.,1476875973
2016,WB,1379446526
2016,WB (NL),485314374
2016,Wein.,51738905
2017,A24,70078889
2017,Aviron,30718107
2017,BST,27780977
2017,BV,2364252943
2017,ENTMP,74126306
2017,Focus,130401350
2017,Fox,1315958160
2017,FoxS,143174387
2017,LG/S,269806487
2017,LGF,404167571
2017,Neon,30014539
2017,ORF,55390806
2017,PNT,32149404
2017,Par.,463333220
2017,SGem,57184041
2017,STX,198870204
2017,Sony,1013720229
2017,TriS,132939569
2017,Uni.,1436918270
2017,WB,1431768525
2017,WB (NL),532364011
2017,Wein.,55658929
