Year,Studio,Studio_Gross,Total_Yearly_Gross,Percentage
2008,Rog.,52597610,8522863503,0.006
2008,SGem,181444371,8522863503,0.021
2008,Sony,1033258622,8522863503,0.121
2008,Sum.,192769854,8522863503,0.022
2008,UA,83077833,8522863503,0.009
2008,Uni.,1011869834,8522863503,0.118
2008,WB,1691515091,8522863503,0.198
2008,Wein.,65652353,8522863503,0.007
2009,BV,1160465714,9863633732,0.117
2009,Focus,107036123,9863633732,0.01
2009,Fox,1869360098,9863633732,0.189
2009,LGF,352981698,9863633732,0.035
2009,Over.,105785922,9863633732,0.01
2009,P/DW,849369075,9863633732,0.086
2009,Par.,625335863,9863633732,0.063
2009,SGem,143126520,9863633732,0.014
2009,Sony,1117903124,9863633732,0.113
2009,Sum.,408392795,9863633732,0.041
2009,TriS,115646235,9863633732,0.011
2009,Uni.,856057220,9863633732,0.086
2009,W/Dim.,33392973,9863633732,0.003
2009,WB,1998239653,9863633732,0.202
2009,Wein.,120540719,9863633732,0.012
2010,BV,1473736551,9317906300,0.158
2010,CBS,37490007,9317906300,0.004
2010,Focus,35606376,9317906300,0.003
2010,Fox,1034576800,9317906300,0.111
2010,LGF,412871445,9317906300,0.044
2010,MGM,50287556,9317906300,0.005
2010,Mira.,27779426,9317906300,0.002
2010,Over.,66287182,9317906300,0.007
2010,P/DW,677760208,9317906300,0.072
2010,Par.,1102083657,9317906300,0.118
2010,SGem,378637674,9317906300,0.04
2010,Sony,918565859,9317906300,0.098
2010,Sum.,443944366,9317906300,0.047
2010,Uni.,788529355,9317906300,0.084
2010,WB,1734296695,9317906300,0.186
2010,Wein.,135453143,9317906300,0.014
2011,BV,1105527042,9057688864,0.122
2011,FD,89069839,9057688864,0.009
2011,Focus,71436667,9057688864,0.007
2011,Fox,1043617290,9057688864,0.115
2011,LGF,111354487,9057688864,0.012
2011,P/DW,666900110,9057688864,0.073
2011,Par.,1268528835,9057688864,0.14
2011,Rela.,162753472,9057688864,0.017
2011,SGem,93102861,9057688864,0.01
2011,SPC,56817045,9057688864,0.006
2011,Sony,985386806,9057688864,0.108
2011,Sum.,371013552,9057688864,0.04
2011,TriS,152336893,9057688864,0.016
2011,Uni.,886390426,9057688864,0.097
2011,W/Dim.,76719116,9057688864,0.008
2011,WB,1842044749,9057688864,0.203
2011,Wein.,74689674,9057688864,0.008
2012,BV,1544257142,10034865654,0.153
2012,CBS,54333290,10034865654,0.005
2012,FD,44806783,10034865654,0.004
2012,Focus,101515517,10034865654,0.01
2012,Fox,1055207324,10034865654,0.105
2012,LG/S,375486317,10034865654,0.037
2012,LGF,726073551,10034865654,0.072
2012,ORF,92583607,10034865654,0.009
2012,P/DW,319804240,10034865654,0.031
2012,Par.,435673941,10034865654,0.043
2012,RM,33449086,10034865654,0.003
2012,Rela.,166559930,10034865654,0.016
2012,SGem,321227805,10034865654,0.032
2012,Sony,1415353740,10034865654,0.141
2012,TriS,66486205,10034865654,0.006
2012,Uni.,1374290782,10034865654,0.136
2012,WB,1575457875,10034865654,0.156
2012,Wein.,332298519,10034865654,0.033
2013,BV,1813075245,10059687522,0.18
2013,CBS,63914167,10059687522,0.006
2013,FD,182512087,10059687522,0.018
2013,Focus,53303136,10059687522,0.005
2013,Fox,1001420743,10059687522,0.099
2013,LG/S,374278915,10059687522,0.037
2013,LGF,607995906,10059687522,0.06
2013,ORF,98841641,10059687522,0.009
2013,Par.,1003312279,10059687522,0.099
2013,Rela.,189700791,10059687522,0.018
2013,SGem,66432040,10059687522,0.006
2013,SPC,33405481,10059687522,0.003
2013,Sony,816794621,10059687522,0.081
2013,TriS,228035725,10059687522,0.022
2013,Uni.,1452825830,10059687522,0.144
2013,W/Dim.,32015787,10059687522,0.003
2013,WB,1792729267,10059687522,0.178
2013,Wein.,249093861,10059687522,0.024
2014,BV,1496462883,9585005031,0.156
2014,Focus,112799797,9585005031,0.011
2014,Fox,1935370210,9585005031,0.201
2014,Free,60755732,9585005031,0.006
2014,IFC,25352281,9585005031,0.002
2014,LG/S,222827967,9585005031,0.023
2014,LGF,376458429,9585005031,0.039
2014,ORF,128056761,9585005031,0.013
2014,Par.,967350189,9585005031,0.1
2014,Rela.,124094300,9585005031,0.012
2014,SGem,196940620,9585005031,0.02
2014,Sony,843015276,9585005031,0.087
2014,TriS,121571216,9585005031,0.012
2014,Uni.,985022870,9585005031,0.102
2014,WB,1808572731,9585005031,0.188
2014,Wein.,180353769,9585005031,0.018
2015,A24,25442958,10321355959,0.002
2015,BG,29504281,10321355959,0.002
2015,BV,2466802926,10321355959,0.238
2015,Focus,79959513,10321355959,0.007
2015,Fox,1538884302,10321355959,0.149
2015,LG/S,157546732,10321355959,0.015
2015,LGF,431576045,10321355959,0.041
2015,ORF,45055776,10321355959,0.004
2015,Par.,690762613,10321355959,0.066
2015,Rela.,73873559,10321355959,0.007
2015,SGem,121487646,10321355959,0.011
2015,STX,43787265,10321355959,0.004
2015,Sony,729867103,10321355959,0.07
2015,TriS,94612261,10321355959,0.009
2015,Uni.,2382128030,10321355959,0.23
2015,W/Dim.,76271832,10321355959,0.007
2015,WB,1166657083,10321355959,0.113
2015,Wein.,167136034,10321355959,0.016
2016,A24,52993637,10381917742,0.005
2016,BV,2849553429,10381917742,0.274
2016,Focus,137295957,10381917742,0.013
2016,Fox,1400787703,10381917742,0.134
2016,LG/S,374948385,10381917742,0.036
2016,LGF,273486902,10381917742,0.026
2016,ORF,32492859,10381917742,0.003
2016,Par.,760270775,10381917742,0.073
2016,RAtt.,47695371,10381917742,0.004
2016,SGem,118965478,10381917742,0.011
2016,STX,149076853,10381917742,0.014
2016,Sony,688257417,10381917742,0.066
2016,TriS,102717198,10381917742,0.009
2016,Uni.,1476875973,10381917742,0.142
2016,WB,1864760900,10381917742,0.179
2016,Wein.,51738905,10381917742,0.004
2017,A24,70078889,10270776924,0.006
2017,Aviron,30718107,10270776924,0.002
2017,BST,27780977,10270776924,0.002
2017,BV,2364252943,10270776924,0.23
