,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
61,2,The Lord of the Rings: The Two Towers,NL,"$339,789,881","3,622","$62,007,528","3,622",2002,/movies/?id=twotowers.htm,Elijah WoodIan McKellenViggo MortensenLiv TylerSean AstinOrlando BloomAndy SerkisKarl UrbanChristopher LeeCate Blanchett*
62,3,Star Wars: Episode II - Attack of the Clones,Fox,"$302,191,252","3,161","$80,027,814","3,161",2002,/movies/?id=starwars2.htm,Anthony DanielsChristopher LeeIan McDiarmidEwan McGregorHayden ChristensenNatalie PortmanSamuel L. Jackson*Rose Byrne*
63,4,Harry Potter and the Chamber of Secrets,WB,"$261,988,482","3,682","$88,357,488","3,682",2002,/movies/?id=harrypotter2.htm,Warwick DavisDaniel RadcliffeRupert GrintEmma WatsonRobbie ColtraneKenneth BranaghAlan Rickman*
64,5,My Big Fat Greek Wedding,IFC,"$241,438,208","2,016","$597,362",108,2002,/movies/?id=mybigfatgreekwedding.htm,John CorbettNia Vardalos
65,1,The Lord of the Rings: The Return of the King,NL,"$377,027,325","3,703","$72,629,713","3,703",2003,/movies/?id=returnoftheking.htm,Andy SerkisIan McKellenElijah WoodViggo MortensenLiv TylerSean AstinOrlando BloomIan HolmCate BlanchettKarl UrbanSean Bean*
66,2,Finding Nemo,BV,"$339,714,978","3,425","$70,251,710","3,374",2003,/movies/?id=findingnemo.htm,Albert Brooks (Voice)Ellen DeGeneres (Voice)Willem Dafoe* (Voice)Eric Bana* (Voice)Geoffrey Rush* (Voice)
67,3,Pirates of the Caribbean: The Curse of the Black Pearl,BV,"$305,413,918","3,416","$46,630,690","3,269",2003,/movies/?id=piratesofthecaribbean.htm,Johnny DeppGeoffrey RushOrlando BloomKeira KnightleyJack DavenportJonathan PryceZoe Saldana*
68,4,The Matrix Reloaded,WB,"$281,576,461","3,603","$91,774,413","3,603",2003,/movies/?id=matrixreloaded.htm,Keanu ReevesLaurence FishburneCarrie-Anne MossJada Pinkett-SmithHugo WeavingMonica Bellucci
69,5,Bruce Almighty,Uni.,"$242,829,261","3,549","$67,953,330","3,483",2003,/movies/?id=brucealmighty.htm,Jim CarreyMorgan FreemanJennifer AnistonSteve Carell
70,1,Shrek 2,DW,"$441,226,247","4,223","$108,037,878","4,163",2004,/movies/?id=shrek2.htm,Mike Myers (Voice)Cameron Diaz (Voice)Eddie Murphy (Voice)Antonio Banderas (Voice)Julie Andrews* (Voice)
71,2,Spider-Man 2,Sony,"$373,585,825","4,166","$88,156,227","4,152",2004,/movies/?id=spiderman2.htm,Tobey MaguireKirsten DunstJames FrancoAlfred MolinaJ.K. SimmonsElizabeth Banks*Willem Dafoe* (Cameo)
72,3,The Passion of the Christ,NM,"$370,274,604","3,408","$83,848,082","3,043",2004,/movies/?id=passionofthechrist.htm,Monica BellucciJames Caviezel
73,4,Meet the Fockers,Uni.,"$279,261,160","3,554","$46,120,980","3,518",2004,/movies/?id=meetthefockers.htm,Robert DeNiroBen StillerDustin HoffmanBarbra StreisandBlythe DannerTeri PoloOwen Wilson* (Cameo)
74,5,The Incredibles,BV,"$261,441,092","3,933","$70,467,623","3,933",2004,/movies/?id=incredibles.htm,Craig T. Nelson (Voice)Holly Hunter (Voice)Samuel L. Jackson (Voice)Brad Bird* (Voice)
75,1,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577","3,663","$108,435,841","3,661",2005,/movies/?id=starwars3.htm,Anthony DanielsChristopher LeePeter Mayhew*Ian McDiarmidEwan McGregorHayden ChristensenNatalie PortmanSamuel L. Jackson
76,2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$291,710,957","3,853","$65,556,312","3,616",2005,/movies/?id=narnia.htm,Tilda SwintonJames McAvoyJim Broadbent*Liam Neeson* (Voice)
77,3,Harry Potter and the Goblet of Fire,WB,"$290,013,036","3,858","$102,685,961","3,858",2005,/movies/?id=harrypotter4.htm,Warwick DavisClemence PoesyDaniel RadcliffeEmma WatsonRupert GrintRalph FiennesBrendan GleesonRobert PattinsonGary Oldman*Alan Rickman*
78,4,War of the Worlds,Par.,"$234,280,354","3,910","$64,878,725","3,908",2005,/movies/?id=waroftheworlds.htm,Amy Ryan*Tom CruiseDakota FanningTim Robbins
79,5,King Kong,Uni.,"$218,080,025","3,627","$50,130,145","3,568",2005,/movies/?id=kingkong05.htm,Naomi WattsJack BlackAdrien BrodyColin HanksAndy SerkisJamie BellKyle Chandler
80,1,Pirates of the Caribbean: Dead Man's Chest,BV,"$423,315,812","4,133","$135,634,554","4,133",2006,/movies/?id=piratesofthecaribbean2.htm,Johnny DeppOrlando BloomKeira KnightleyJack DavenportBill NighyJonathan PryceStellan SkarsgardTom HollanderNaomie HarrisGeoffrey Rush* (Cameo)
81,2,Night at the Museum,Fox,"$250,863,268","3,768","$30,433,781","3,685",2006,/movies/?id=nightatthemuseum.htm,Ben StillerCarla GuginoDick Van DykeMickey RooneyBill CobbsRicky GervaisRobin WilliamsSteve CooganOwen Wilson
82,3,Cars,BV,"$244,082,982","3,988","$60,119,509","3,985",2006,/movies/?id=cars.htm,Owen Wilson (Voice)Paul Newman (Voice)Bonnie Hunt (Voice)Larry the Cable Guy (Voice)Michael Keaton* (Voice)
83,4,X-Men: The Last Stand,Fox,"$234,362,462","3,714","$102,750,665","3,690",2006,/movies/?id=x3.htm,Hugh JackmanHalle BerryIan McKellenFamke JanssenAnna PaquinKelsey GrammerRebecca RomijnJames MarsdenBen Foster*Patrick StewartEllen Page*
84,5,The Da Vinci Code,Sony,"$217,536,138","3,757","$77,073,388","3,735",2006,/movies/?id=davincicode.htm,Tom HanksAudrey TautouIan McKellenPaul BettanyJean RenoAlfred Molina
85,1,Spider-Man 3,Sony,"$336,530,303","4,324","$151,116,516","4,252",2007,/movies/?id=spiderman3.htm,Tobey MaguireKirsten DunstJames FrancoThomas Haden ChurchTopher GraceBryce Dallas HowardElizabeth Banks*Willem Dafoe* (Cameo)
86,2,Shrek the Third,P/DW,"$322,719,944","4,172","$121,629,270","4,122",2007,/movies/?id=shrek3.htm,Mike Myers (Voice)Eddie Murphy (Voice)Cameron Diaz (Voice)Antonio Banderas (Voice)Julie Andrews* (Voice)John Cleese* (Voice)Rupert Everett* (Voice)Eric Idle* (Voice)Justin Timberlake* (Voice)John Krasinski* (Voice)Ian McShane* (Voice)Cheri Oteri* (Voice)Regis Philbin* (Voice)Amy Poehler* (Voice)Seth Rogen* (Voice)Maya Rudolph* (Voice)Amy Sedaris* (Voice)Tom McGrath* (Voice)
87,3,Transformers,P/DW,"$319,246,193","4,050","$70,502,384","4,011",2007,/movies/?id=transformers06.htm,Shia LaBeoufTyrese GibsonJosh DuhamelAnthony AndersonMegan FoxRachael TaylorJohn TurturroJon VoightBernie Mac*
88,4,Pirates of the Caribbean: At World's End,BV,"$309,420,425","4,362","$114,732,820","4,362",2007,/movies/?id=piratesofthecaribbean3.htm,Johnny DeppOrlando BloomKeira KnightleyChow Yun-FatGeoffrey RushJack DavenportBill NighyJonathan PryceStellan SkarsgardTom HollanderNaomie Harris
89,5,Harry Potter and the Order of the Phoenix,WB,"$292,004,738","4,285","$77,108,414","4,285",2007,/movies/?id=harrypotter5.htm,Daniel RadcliffeRupert GrintEmma WatsonHelena Bonham Carter*Robbie Coltrane*Warwick Davis*Ralph FiennesMichael GambonBrendan Gleeson*Richard Griffiths*Jason Isaacs*Gary OldmanAlan Rickman*Fiona Shaw*Maggie Smith*Imelda StauntonDavid Thewlis*Emma Thompson*Julie Walters*Robert Pattinson*
90,1,The Dark Knight,WB,"$533,345,358","4,366","$158,411,483","4,366",2008,/movies/?id=darkknight.htm,Christian BaleHeath LedgerAaron EckhartMorgan FreemanMichael CaineGary OldmanMaggie GyllenhaalEric RobertsMichael Jai White*William Fichtner*Cillian Murphy*
91,2,Iron Man,Par.,"$318,412,101","4,154","$98,618,668","4,105",2008,/movies/?id=ironman.htm,"Robert Downey, Jr.Terrence HowardGwyneth PaltrowJeff BridgesClark GreggPaul Bettany* (Voice)Jon Favreau*Samuel L. Jackson* (Cameo)"
92,3,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$317,101,119","4,264","$100,137,835","4,260",2008,/movies/?id=indianajones4.htm,Harrison FordCate BlanchettKaren AllenShia LaBeoufRay WinstoneJohn HurtJim Broadbent*
93,4,Hancock,Sony,"$227,946,274","3,965","$62,603,879","3,965",2008,/movies/?id=hancock.htm,Will SmithCharlize TheronJason Bateman
94,5,WALL-E,BV,"$223,808,164","3,992","$63,087,526","3,992",2008,/movies/?id=wall-e.htm,Fred Willard* (Voice)Jeff Garlin* (Voice)Sigourney Weaver* (Voice)
