Studio,Year,Genre1,Total Gross,RottenTomato
Fox,1992,Adventure,196864447.0,29.0
Fox,1992,Animation,0.0,64.0
Fox,1992,Biography,24276506.0,52.0
Fox,1992,Comedy,167146969.0,67.0
Fox,1992,Crime,57138719.0,75.0
Fox,1992,Drama,21633781.0,36.0
Fox,1993,Action,102102495.0,46.5
Fox,1993,Adventure,35739755.0,48.0
Fox,1993,Comedy,349273724.0,46.75
Fox,1993,Drama,59333183.0,37.0
Fox,1994,Action,267530556.0,82.5
Fox,1994,Adventure,16827402.0,20.0
Fox,1994,Animation,13670688.0,18.0
Fox,1994,Drama,33683817.0,53.0
Fox,1994,Family,0.0,56.0
Fox,1994,Romance,15240435.0,9.0
Fox,1995,Action,14942422.0,53.333333333333336
Fox,1995,Comedy,175633542.0,42.333333333333336
Fox,1995,Drama,50008143.0,40.0
Fox,1996,Action,327395472.0,44.333333333333336
Fox,1996,Comedy,193248669.0,50.4
Fox,1996,Drama,46351345.0,72.0
Fox,1997,Action,125804920.0,41.75
Fox,1997,Animation,58406347.0,85.0
Fox,1997,Comedy,180963617.0,58.0
Fox,1998,Action,40981289.0,44.0
Fox,1998,Comedy,504527647.0,67.71428571428571
Fox,1998,Drama,122874358.0,47.0
Fox,1999,Action,550563105.0,44.333333333333336
Fox,1999,Comedy,91990494.0,49.666666666666664
Fox,1999,Drama,76293522.0,65.0
Fox,2000,Action,274859155.0,55.5
Fox,2000,Adventure,273417169.0,55.0
Fox,2000,Animation,22753426.0,51.0
Fox,2000,Biography,48818921.0,42.0
Fox,2000,Comedy,80502638.0,26.5
Fox,2001,Action,95701914.0,44.0
Fox,2001,Adventure,33426971.0,14.0
Fox,2001,Comedy,207041751.0,41.0
Fox,2001,Drama,112388249.0,50.0
Fox,2001,Horror,31602566.0,57.0
Fox,2001,Mystery,21974919.0,73.0
Fox,2002,Action,327487699.0,60.0
Fox,2002,Animation,176387405.0,77.0
Fox,2002,Comedy,138139360.0,62.0
Fox,2002,Drama,52775765.0,32.0
Fox,2002,Romance,27363891.0,66.0
Fox,2003,Action,262936642.0,48.333333333333336
Fox,2003,Comedy,138614544.0,24.0
Fox,2003,Crime,49443628.0,73.0
Fox,2004,Action,301263639.0,31.0
Fox,2004,Comedy,222147151.0,58.833333333333336
Fox,2005,Action,614005269.0,59.0
Fox,2005,Adventure,82571173.0,6.0
Fox,2005,Animation,128200012.0,64.0
Fox,2005,Biography,119519402.0,83.0
Fox,2005,Comedy,203090245.0,57.0
Fox,2005,Drama,51100486.0,13.0
Fox,2006,Action,270643159.0,45.5
Fox,2006,Adventure,250863268.0,43.0
Fox,2006,Animation,195330621.0,57.0
Fox,2006,Comedy,507957194.0,43.285714285714285
Fox,2006,Horror,41778863.0,50.0
Fox,2007,Action,134529403.0,82.0
Fox,2007,Adventure,39739367.0,2.0
Fox,2007,Animation,400461988.0,57.5
Fox,2007,Comedy,175556820.0,66.0
Fox,2008,Action,120861521.0,16.0
Fox,2008,Adventure,49554002.0,55.0
Fox,2008,Animation,30105968.0,34.0
Fox,2008,Comedy,195319976.0,23.333333333333332
Fox,2008,Drama,179090090.0,75.0
Fox,2008,Sci-Fi,64506874.0,18.0
Fox,2009,Action,929649296.0,60.0
